pokemon_id,slot,ability_id,ability_name
255,2,74,정신력
257,1,103,둔감
257,2,153,마이페이스
257,3,47,재생력
258,1,261,기묘한약
258,2,153,마이페이스
258,3,47,재생력
264,1,32,옹골참
264,2,148,방진
267,1,12,돌머리
267,2,32,옹골참
267,3,83,우격다짐
268,1,69,모래의힘
271,1,100,독가시
271,2,61,쓱쓱
271,3,11,위협
273,1,163,벌레의알림
273,2,89,테크니션
273,3,180,라이트메탈
274,1,89,테크니션
276,1,163,벌레의알림
276,2,46,근성
276,3,50,자기과신
277,1,63,스킬링크
292,1,71,날카로운눈
292,2,32,옹골참
292,3,43,깨어진갑옷
293,1,247,굳건한신념
295,1,120,일찍기상
295,2,170,타오르는불꽃
295,3,40,긴장감
296,1,48,선파워
315,1,66,모래날림
315,2,40,긴장감
316,1,66,모래날림
322,1,59,심록
322,2,30,곡예
323,1,124,피뢰침
326,1,168,맹화
326,2,25,가속
327,1,25,가속
330,1,45,급류
330,2,52,습기
331,1,61,쓱쓱
352,1,71,날카로운눈
352,2,8,잔비
352,3,7,젖은접시
355,1,58,싱크로
355,2,102,트레이스
355,3,94,텔레파시
356,1,128,페어리스킨
376,1,71,날카로운눈
376,2,4,시간벌기
376,3,13,짓궂은마음
377,1,157,매직미러
378,1,23,괴력집게
378,2,11,위협
378,3,83,우격다짐
379,1,84,천하장사
382,1,32,옹골참
382,2,12,돌머리
382,3,142,헤비메탈
383,1,126,필터
385,1,176,순수한힘
385,2,94,텔레파시
386,1,176,순수한힘
388,1,75,정전기
388,2,124,피뢰침
388,3,152,마이너스
389,1,11,위협
398,1,253,까칠한피부
398,2,25,가속
399,1,33,옹골찬턱
403,1,154,마그마의무장
403,2,114,하드록
403,3,256,분노의경혈
404,1,83,우격다짐
405,1,57,하얀연기
405,2,122,가뭄
405,3,49,조가비갑옷
415,1,51,자연회복
415,2,111,날씨부정
416,1,128,페어리스킨
432,1,132,이상한비늘
432,2,28,승기
432,3,166,헤롱헤롱바디
433,1,95,기분파
434,1,95,기분파
435,1,95,기분파
436,1,95,기분파
439,1,134,불면
439,2,20,통찰
439,3,113,저주받은바디
440,1,13,짓궂은마음
444,1,135,부유
445,1,135,부유
446,1,140,프레셔
446,2,38,대운
446,3,73,정의의마음
447,1,157,매직미러
451,1,74,정신력
451,2,1,아이스바디
451,3,164,변덕쟁이
452,1,139,프리즈스킨
467,1,44,클리어바디
467,2,180,라이트메탈
468,1,26,단단한발톱
489,1,59,심록
489,2,49,조가비갑옷
492,1,168,맹화
492,2,90,철주먹
495,1,45,급류
495,2,28,승기
498,1,11,위협
498,2,64,이판사판
499,1,6,심술꾸러기
506,1,98,투쟁심
506,2,11,위협
506,3,46,근성
508,1,51,자연회복
508,2,100,독가시
508,3,89,테크니션
510,1,27,틀깨기
510,2,83,우격다짐
512,1,32,옹골참
512,2,146,방음
536,1,166,헤롱헤롱바디
536,2,129,서투름
536,3,54,유연
537,1,36,배짱
551,1,140,프레셔
551,2,70,틈새포착
554,1,68,모래숨기
554,2,253,까칠한피부
555,1,69,모래의힘
559,1,131,불굴의마음
559,2,74,정신력
559,3,73,정의의마음
560,1,88,적응력
563,1,66,모래날림
563,2,69,모래의힘
564,1,66,모래날림
564,2,69,모래의힘
568,1,35,위험예지
568,2,34,건조피부
568,3,99,독수
574,1,174,눈퍼뜨리기
574,2,146,방음
575,1,174,눈퍼뜨리기
576,1,140,프레셔
576,2,183,나쁜손버릇
579,1,124,피뢰침
579,2,114,하드록
579,3,64,이판사판
585,1,181,리프가드
585,2,175,엽록소
586,1,173,눈숨기
586,2,1,아이스바디
587,1,23,괴력집게
587,2,68,모래숨기
587,3,145,포이즌힐
588,1,103,둔감
588,2,173,눈숨기
588,3,3,두꺼운지방
590,1,131,불굴의마음
590,2,293,예리함
590,3,73,정의의마음
591,1,74,정신력
594,1,173,눈숨기
594,2,113,저주받은바디
595,1,174,눈퍼뜨리기
596,1,135,부유
597,1,135,부유
598,1,135,부유
599,1,135,부유
600,1,135,부유
601,1,135,부유
625,1,59,심록
625,2,6,심술꾸러기
628,1,168,맹화
628,2,64,이판사판
629,1,27,틀깨기
632,1,45,급류
632,2,49,조가비갑옷
633,1,45,급류
633,2,293,예리함
635,1,116,발광
635,2,71,날카로운눈
635,3,5,애널라이즈
640,1,54,유연
640,2,30,곡예
640,3,13,짓궂은마음
642,1,41,먹보
642,2,59,심록
644,1,41,먹보
644,2,168,맹화
646,1,41,먹보
646,2,45,급류
648,1,177,예지몽
648,2,58,싱크로
648,3,94,텔레파시
661,1,67,모래헤치기
661,2,69,모래의힘
661,3,27,틀깨기
662,1,310,관통드릴
663,1,14,치유의마음
663,2,47,재생력
663,3,129,서투름
664,1,14,치유의마음
667,1,46,근성
667,2,83,우격다짐
667,3,90,철주먹
678,1,100,독가시
678,2,163,벌레의알림
678,3,25,가속
679,1,49,조가비갑옷
681,1,13,짓궂은마음
681,2,70,틈새포착
681,3,175,엽록소
690,1,11,위협
690,2,50,자기과신
690,3,256,분노의경혈
701,1,80,탈피
701,2,50,자기과신
701,3,11,위협
702,1,11,위협
706,1,159,미라
712,1,2,악취
712,2,43,깨어진갑옷
712,3,172,유폭
715,1,15,일루전
716,1,15,일루전
724,1,148,방진
724,2,156,매직가드
724,3,47,재생력
729,1,1,아이스바디
729,2,174,눈퍼뜨리기
729,3,43,깨어진갑옷
738,1,75,정전기
738,2,254,전기엔진
757,1,135,부유
758,1,312,천정부지
763,1,170,타오르는불꽃
763,2,151,불꽃몸
763,3,70,틈새포착
764,1,70,틈새포착
769,1,173,눈숨기
769,2,212,눈치우기
769,3,61,쓱쓱
773,1,75,정전기
773,2,54,유연
773,3,68,모래숨기
774,1,233,의태
779,1,90,철주먹
779,2,129,서투름
779,3,110,노가드
780,1,250,보이지않는주먹
793,1,135,부유
795,1,151,불꽃몸
795,2,163,벌레의알림
817,1,59,심록
817,2,149,방탄
818,1,149,방탄
821,1,168,맹화
821,2,260,매지션
822,1,135,부유
825,1,45,급류
825,2,143,변환자재
826,1,143,변환자재
828,1,169,픽업
828,2,150,볼주머니
828,3,84,천하장사
831,1,151,불꽃몸
831,2,259,질풍날개
834,1,182,인분
834,2,130,복안
834,3,141,프렌드가드
836,1,98,투쟁심
836,2,40,긴장감
836,3,50,자기과신
837,1,98,투쟁심
837,2,40,긴장감
837,3,50,자기과신
838,1,313,불꽃의갈기
839,1,313,불꽃의갈기
842,1,138,플라워베일
842,2,39,공생
843,1,127,페어리오라
844,1,138,플라워베일
844,2,39,공생
848,1,90,철주먹
848,2,27,틀깨기
848,3,36,배짱
849,1,125,퍼코트
851,1,71,날카로운눈
851,2,70,틈새포착
851,3,13,짓궂은마음
852,1,71,날카로운눈
852,2,70,틈새포착
852,3,28,승기
853,1,102,트레이스
854,1,102,트레이스
857,1,118,배틀스위치
858,1,118,배틀스위치
860,1,14,치유의마음
860,2,10,아로마베일
862,1,60,스위트베일
862,2,30,곡예
864,1,6,심술꾸러기
864,2,37,흡반
864,3,70,틈새포착
865,1,6,심술꾸러기
867,1,26,단단한발톱
867,2,65,스나이퍼
867,3,183,나쁜손버릇
868,1,26,단단한발톱
870,1,100,독가시
870,2,99,독수
870,3,88,적응력
871,1,47,재생력
873,1,165,메가런처
875,1,34,건조피부
875,2,68,모래숨기
875,3,48,선파워
877,1,33,옹골찬턱
877,2,12,돌머리
879,1,139,프리즈스킨
879,2,174,눈퍼뜨리기
880,1,166,헤롱헤롱바디
880,2,128,페어리스킨
881,1,54,유연
881,2,30,곡예
881,3,27,틀깨기
882,1,110,노가드
883,1,150,볼주머니
883,2,169,픽업
883,3,136,플러스
888,1,76,초식
888,2,17,촉촉바디
888,3,107,미끈미끈
889,1,76,초식
889,2,49,조가비갑옷
889,3,107,미끈미끈
890,1,13,짓궂은마음
890,2,260,매지션
892,1,51,자연회복
892,2,20,통찰
892,3,53,수확
897,1,169,픽업
897,2,20,통찰
897,3,134,불면
898,1,169,픽업
898,2,20,통찰
898,3,134,불면
899,1,169,픽업
899,2,20,통찰
899,3,134,불면
900,1,169,픽업
900,2,20,통찰
900,3,134,불면
902,1,153,마이페이스
902,2,1,아이스바디
902,3,32,옹골참
903,1,33,옹골찬턱
903,2,1,아이스바디
903,3,32,옹골참
905,1,20,통찰
905,2,70,틈새포착
905,3,94,텔레파시
919,1,59,심록
919,2,216,원격
920,1,59,심록
920,2,36,배짱
923,1,168,맹화
923,2,11,위협
926,1,45,급류
926,2,217,촉촉보이스
929,1,71,날카로운눈
929,2,63,스킬링크
929,3,83,우격다짐
936,1,23,괴력집게
936,2,90,철주먹
936,3,256,분노의경혈
937,1,90,철주먹
946,1,71,날카로운눈
946,2,67,모래헤치기
946,3,131,불굴의마음
947,1,71,날카로운눈
947,2,171,의기양양
947,3,110,노가드
948,1,26,단단한발톱
952,1,218,무도한행동
952,2,54,유연
952,3,47,재생력
954,1,153,마이페이스
954,2,198,지구력
954,3,74,정신력
956,1,219,수포
956,2,87,저수
962,1,191,부식
962,2,103,둔감
967,1,181,리프가드
967,2,205,여왕의위엄
967,3,60,스위트베일
969,1,74,정신력
969,2,94,텔레파시
969,3,39,공생
970,1,203,리시버
970,2,155,오기
984,1,193,탈
986,1,189,발끈
986,2,76,초식
986,3,111,날씨부정
987,1,189,발끈
991,1,149,방탄
991,2,146,방음
991,3,148,방진
1037,1,140,프레셔
1037,2,40,긴장감
1037,3,226,미러아머
1055,1,237,숙성
1055,2,41,먹보
1055,3,121,의욕
1056,1,237,숙성
1056,2,41,먹보
1056,3,3,두꺼운지방
1058,1,232,모래뿜기
1058,2,80,탈피
1058,3,68,모래숨기
1071,1,43,깨어진갑옷
1071,2,113,저주받은바디
1072,1,43,깨어진갑옷
1072,2,113,저주받은바디
1075,1,14,치유의마음
1075,2,35,위험예지
1075,3,157,매직미러
1078,1,13,짓궂은마음
1078,2,20,통찰
1078,3,183,나쁜손버릇
1083,1,86,갈지자걸음
1083,2,239,배리어프리
1083,3,1,아이스바디
1084,1,238,떠도는영혼
1086,1,60,스위트베일
1086,2,10,아로마베일
1087,1,29,전투무장
1087,2,155,오기
1088,1,155,오기
1097,1,242,꼬르륵스위치
1098,1,242,꼬르륵스위치
1108,1,44,클리어바디
1108,2,70,틈새포착
1108,3,113,저주받은바디
1126,1,11,위협
1126,2,20,통찰
1126,3,76,초식
1127,1,163,벌레의알림
1127,2,83,우격다짐
1127,3,293,예리함
1129,1,61,쓱쓱
1129,2,88,적응력
1129,3,27,틀깨기
1130,1,61,쓱쓱
1130,2,88,적응력
1130,3,27,틀깨기
1131,1,140,프레셔
1131,2,30,곡예
1131,3,99,독수
1132,1,100,독가시
1132,2,61,쓱쓱
1132,3,11,위협
1137,1,59,심록
1137,2,143,변환자재
1140,1,168,맹화
1140,2,96,천진
1143,1,45,급류
1143,2,50,자기과신
1157,1,141,프렌드가드
1157,2,150,볼주머니
1157,3,89,테크니션
1169,1,295,정화의소금
1169,2,32,옹골참
1169,3,44,클리어바디
1170,1,171,의기양양
1170,2,74,정신력
1170,3,155,오기
1172,1,170,타오르는불꽃
1172,2,43,깨어진갑옷
1173,1,170,타오르는불꽃
1173,2,43,깨어진갑옷
1175,1,269,전기로바꾸기
1175,2,75,정전기
1175,3,52,습기
1179,1,270,되새김질
1179,2,268,테일아머
1179,3,76,초식
1184,1,11,위협
1184,2,256,분노의경혈
1184,3,270,되새김질
1185,1,11,위협
1185,2,256,분노의경혈
1185,3,270,되새김질
1186,1,11,위협
1186,2,256,분노의경혈
1186,3,270,되새김질
1193,1,175,엽록소
1193,2,134,불면
1193,3,164,변덕쟁이
1194,1,311,하바네로분출
1198,1,276,편승
1198,2,20,통찰
1198,3,25,가속
1201,1,27,틀깨기
1201,2,153,마이페이스
1201,3,183,나쁜손버릇
1206,1,283,마이티체인지
1207,1,283,마이티체인지
1211,1,273,흙먹기
1211,2,68,모래숨기
1213,1,291,독치장
1213,2,191,부식
1214,1,88,적응력
1216,1,67,모래헤치기
1216,2,192,복슬복슬
1220,1,155,오기
1220,2,292,총대장
1220,3,140,프레셔
1247,1,284,황금몸
1261,1,300,대접
1261,2,79,내열
1262,1,300,대접
1262,2,79,내열
1271,1,198,지구력
1271,2,32,옹골참
1271,3,247,굳건한신념
1275,1,299,감미로운꿀
1275,2,47,재생력
1275,3,109,점착
1281,1,141,프렌드가드
1281,2,150,볼주머니
1281,3,89,테크니션
